id_media valeur chant ligne position_ds_ligne
755 quelle 1 80 5
756 vitesse 1 80 6
757 fuir 1 80 7
758 ; 1 80 8
759 —Le 1 81 0
760 lièvre 1 81 1
761 si 1 81 2
762 lorsqu'il 1 81 3
763 musait 1 81 4
764 par 1 81 5
765 la 1 81 6
766 bruyère 1 81 7
767 L'eût 1 82 0
768 distancé 1 82 1
769 même 1 82 2
770 un 1 82 3
771 vieux 1 82 4
772 morceau 1 82 5
773 de 1 82 6
774 gruyère 1 82 7
775 ; 1 82 8
776 — 1 83 0
777 Si 1 83 1
778 valsent 1 83 2
779 ou 1 83 3
780 non 1 83 4
781 les 1 83 5
782 bouteilles 1 83 6
783 de 1 83 7
784 Clicquot 1 83 8
785 Le 1 84 0
786 soupeur 1 84 1
787 dont 1 84 2
788 le 1 84 3
789 nez 1 84 4
790 tourne 1 84 5
791 au 1 84 6
792 coquelicot 1 84 7
793 ; 1 84 8
794 — 1 85 0
795 L'Yankee 1 85 1
796 si, 1 85 2
797 pour 1 85 3
798 de 1 85 4
799 bon, 1 85 5
800 plus 1 85 6
801 lisse 1 85 7
802 est 1 85 8
803 qu'une 1 85 9
804 orange 1 85 10
805 La 1 86 0
806 terre, 1 86 1
807 alors 1 86 2
808 qu'il 1 86 3
809 grimpe 1 86 4
810 à 1 86 5
811 l'Alleghanys 1 86 6
812 Range 1 86 7
813 ; 1 86 8
814 — 1 87 0
815 L'étranger 1 87 1
816 si 1 87 2
817 plus 1 87 3
818 rien 1 87 4
819 n'est 1 87 5
820 en 1 87 6
821 vice 1 87 7
822 amoral 1 87 8
823 Dans 1 88 0
824 « 1 88 1
825 vice-président 1 88 2
826 » 1 88 3
827 ou 1 88 4
828 dans 1 88 5
829 « 1 88 6
830 vice-amiral 1 88 7
831 » 1 88 8
832 ; 1 88 9
833 — 1 89 0
834 Si, 1 89 1
835 méthodique, 1 89 2
836 avant 1 89 3
837 de 1 89 4
838 l'arroser, 1 89 5
839 Cerbère 1 89 6
840 Le 1 90 0
841 flairerait 1 90 1
842 de 1 90 2
843 ses 1 90 3
844 trois 1 90 4
845 nez, 1 90 5
846 le 1 90 6
847 réverbère 1 90 7
848 ; 1 90 8
849 5.jpg 1 90 1000
850 Une 1 90 1001
851 rue 1 90 1002
852 déserte. 1 90 1003
853 Au 1 90 1004
854 premier 1 90 1005
855 plan 1 90 1006
856 un 1 90 1007
857 réverbère. 1 90 1008
858 — 1 91 0
859 L'hiver, 1 91 1
860 sur 1 91 2
861 le 1 91 3
862 trottoir, 1 91 4
863 maudissant 1 91 5
864 son 1 91 6
865 bourreau, 1 91 7
866 S'il 1 92 0
867 rentrera 1 92 1
868 sans 1 92 2
869 rhume, 1 92 3
870 un 1 92 4
871 riflard 1 92 5
872 sans 1 92 6
873 fourreau 1 92 7
874 ; 1 92 8
875 — 1 93 0
876 Quand, 1 93 1
877 poisseuse, 1 93 2
878 elle 1 93 3
879 a 1 93 4
880 l'heur 1 93 5
881 de 1 93 6
882 puer, 1 93 7
883 la 1 93 8
884 semelle, 1 93 9
885 Si 1 94 0
886 de 1 94 1
887 son 1 94 2
888 sort 1 94 3
889 chanceux 1 94 4
890 jalouse 1 94 5
891 est 1 94 6
892 sa 1 94 7
893 jumelle 1 94 8
894 ; 1 94 9
895 — 1 95 0
896 La 1 95 1
897 fermière, 1 95 2
898 à 1 95 3
899 l'aube, 1 95 4
900 en 1 95 5
901 passant 1 95 6
902 son 1 95 7
903 caraco, 1 95 8
904 De 1 96 0
905 quel 1 96 1
906 coq 1 96 2
907 debout 1 96 3
908 la 1 96 4
909 mit 1 96 5
910 le 1 96 6
911 cocorico 1 96 7
912 ; 1 96 8
913 — 1 97 0
914 Quand, 1 97 1
915 sonore, 1 97 2
916 entre 1 97 3
917 en 1 97 4
918 danse 1 97 5
919 un 1 97 6
920 conscrit, 1 97 7
921 sa 1 97 8
922 chemise 1 97 9
923 Quelle 1 98 0
924 purge, 1 98 1
925 au 1 98 2
926 réveil, 1 98 3
927 dans 1 98 4
928 la 1 98 5
929 lampe 1 98 6
930 il 1 98 7
931 s'est 1 98 8
932 mise 1 98 9
933 ; 1 98 10
934 — 1 99 0
